Region,Year,data_min,data_max,q_min,q_max,n_total,n_plotted
global,1961,-45.76877,97.03155600000001,-45.76877,97.03155600000001,15618,15618
global,1962,-44.5008,43.26941000000001,-44.5008,43.26941000000001,16228,16228
global,1963,-56.11825,22.09186000000001,-56.11825,22.09186000000001,17368,17368
global,1964,-66.99503999999999,34.71672,-66.99503999999999,34.71672,18190,18190
global,1965,-45.98522,41.818560000000005,-45.98522,41.818560000000005,19124,19124
global,1966,-39.16833,18.86712,-39.16833,18.86712,20889,20889
global,1967,-56.59377,39.194230000000005,-56.59377,39.194230000000005,22634,22634
global,1968,-57.637679999999996,49.206908,-57.637679999999996,49.206908,23850,23850
global,1969,-63.71845,93.57360000000006,-63.71845,93.57360000000006,24828,24828
global,1970,-46.207679999999996,55.473599999999976,-46.207679999999996,55.473599999999976,25559,25559
global,1971,-50.67304,78.79079999999999,-50.67304,78.79079999999999,26313,26313
global,1972,-47.71340000000001,57.45479999999998,-47.71340000000001,57.45479999999998,26652,26652
global,1973,-41.86428,88.39200000000002,-41.86428,88.39200000000002,27038,27038
global,1974,-69.09206,62.94882,-69.09206,62.94882,27612,27612
global,1975,-67.05599999999998,64.61760000000001,-67.05599999999998,64.61760000000001,29955,29955
global,1976,-63.246,52.76088,-63.246,52.76088,31660,31660
global,1977,-54.864000000000004,59.89319999999999,-54.864000000000004,59.89319999999999,33181,33181
global,1978,-89.83220000000001,68.65925000000001,-89.83220000000001,68.65925000000001,34251,34251
global,1979,-47.112939999999995,50.292,-47.112939999999995,50.292,34637,34637
global,1980,-73.14281,56.72634,-73.14281,56.72634,34311,34311
global,1981,-73.89880000000001,92.14714,-73.89880000000001,92.14714,33960,33960
global,1982,-41.01390000000001,93.098114,-41.01390000000001,93.098114,34557,34557
global,1983,-40.233599999999996,64.6176,-40.233599999999996,64.6176,33617,33617
global,1984,-55.168800000000005,60.04559999999999,-55.168800000000005,60.04559999999999,33844,33844
global,1985,-58.216800000000006,58.98640999999999,-58.216800000000006,58.98640999999999,34753,34753
global,1986,-57.454800000000006,51.267360000000004,-57.454800000000006,51.267360000000004,34454,34454
global,1987,-80.25992,64.31280000000001,-80.25992,64.31280000000001,35255,35255
global,1988,-36.67049,74.96864,-36.67049,74.96864,35563,35563
global,1989,-62.788799999999995,59.094600000000014,-62.788799999999995,59.094600000000014,36195,36195
global,1990,-54.863999999999976,43.61993,-54.863999999999976,43.61993,36074,36074
global,1991,-61.04230000000001,59.43599999999998,-61.04230000000001,59.43599999999998,35581,35581
global,1992,-78.02879999999999,50.398669999999996,-78.02879999999999,50.398669999999996,34975,34975
global,1993,-53.644800000000004,65.34607999999999,-53.644800000000004,65.34607999999999,33760,33760
global,1994,-89.22866,72.84719999999999,-89.22866,72.84719999999999,33712,33712
global,1995,-55.07736,62.7888,-55.07736,62.7888,33051,33051
global,1996,-63.23079999999999,88.84920000000002,-63.23079999999999,88.84920000000002,32392,32392
global,1997,-72.33514,69.49,-72.33514,69.49,32205,32205
global,1998,-59.58839999999999,82.32957000000002,-59.58839999999999,82.32957000000002,32472,32472
global,1999,-52.1208,71.55787,-52.1208,71.55787,31260,31260
global,2000,-76.68154000000001,45.72000000000003,-76.68154000000001,45.72000000000003,31060,31060
global,2001,-73.55738,66.14160000000001,-73.55738,66.14160000000001,33260,33260
global,2002,-69.26584,58.286919999999995,-69.26584,58.286919999999995,44139,44139
global,2003,-46.901120000000006,79.83935,-46.901120000000006,79.83935,66728,66728
global,2004,-80.37576000000001,49.423320000000004,-80.37576000000001,49.423320000000004,72318,72318
global,2005,-62.78880000000001,80.707992,-62.78880000000001,80.707992,76462,76462
global,2006,-70.34788,96.78924,-70.34788,96.78924,91254,91254
