StnID,Year,Lat,Lon,Anomaly,SourceType
330004819,1996,49.2602,5.717063,26.64,depth
330004819,1997,49.2602,5.717063,34.370000000000005,depth
330004819,1998,49.2602,5.717063,28.629999999999995,depth
330004861,1995,49.308,5.890212,39.764999999999986,depth
330004861,1996,49.308,5.890212,25.090000000000003,depth
330004861,1997,49.308,5.890212,32.59,depth
330004861,1998,49.308,5.890212,31.13000000000001,depth
330004872,1998,49.3207,5.908205,29.740000000000002,depth
330004914,2007,49.385,5.938317,42.92999999999998,depth
330004914,2008,49.385,5.938317,22.460000000000008,depth
330004919,2007,49.3871,5.967092,68.87,depth
330004919,2008,49.3871,5.967092,23.599999999999994,depth
330004923,2007,49.4004,6.009123,20.375,depth
330004923,2008,49.4004,6.009123,22.36499999999998,depth
330005285,1976,50.2213,3.927474,-20.12,depth
330005285,1977,50.2213,3.927474,-20.049999999999997,depth
330005285,1981,50.2213,3.927474,21.58,depth
330005482,1989,50.443,2.788085,-23.689999999999998,depth
330005556,2002,50.5362,2.037602,22.310000000000002,depth
330005556,2003,50.5362,2.037602,-29.03,depth
330005655,1990,50.6773,2.373951,-26.45,depth
420010262,2012,37.5333,115.2667,21.47,depth
900000844,2012,56.9981,8.62275,19.660000000000004,elev
900001709,2012,56.774,9.5154,20.259999999999998,elev
1000000629,1984,40.7061,-89.40898,60.04559999999999,depth
1000000922,2022,40.7122,-111.4835,-45.8724,depth
1000001332,2011,40.7204,-111.9371,-22.7015,depth
1000001332,2012,40.7204,-111.9371,23.3172,depth
1000011143,1992,40.9738,-116.4265,-40.233599999999996,depth
1000012367,1992,41.0194,-116.4256,-78.02879999999999,depth
1000012367,1993,41.0194,-116.4256,-53.644800000000004,depth
1000017388,1973,41.1674,-117.6301,21.061679999999996,depth
1000018452,1973,41.1938,-117.649,-19.68398,depth
1000018667,1974,41.201,-117.6485,-21.32076,depth
1000018758,1973,41.2038,-117.6601,-25.11552,depth
1000018758,1974,41.2038,-117.6601,-21.137879999999996,depth
1000018758,1975,41.2038,-117.6601,38.28287999999999,depth
1000018773,2001,41.2045,-97.08281,-20.506939999999997,depth
1000037784,1999,41.6658,-91.53739,-36.2712,depth
1000037784,2002,41.6658,-91.53739,25.603200000000008,depth
1000039626,1967,41.6972,-93.06492,-27.121100000000006,depth
1000041930,2002,41.7461,-91.59323,20.711159999999992,depth
