AQUIFER_ID,Region,Decade,n_stn_decade,mean_ratio_neg,mean_ratio_pos,mean_frac_neg,mean_frac_pos,mean_sum_anom,mean_sum_neg,mean_sum_pos
0,US,1940,2,-0.01981199999999994,0.20955000000000013,0.25,0.5,0.37947600000000037,-0.03962399999999988,0.41910000000000025
0,US,1950,2,-0.08161030000000001,0.07216170000000001,0.45,0.55,-0.09448599999999985,-0.816103,0.7216170000000002
0,US,1960,4,-0.13500730000000014,0.440283975,0.2875,0.7125,1.4177029999999993,-0.9357355000000005,2.3534384999999998
0,US,1970,4,-0.23633459999999992,0.22113254999999993,0.55,0.45,-0.1520204999999999,-2.363345999999999,2.211325499999999
0,US,1980,11,-0.21386096666666682,0.2357714030303031,0.4628787878787879,0.5371212121212121,0.6204456363636361,-1.2718080000000005,1.8922536363636366
0,US,1990,17,-0.13869974901960802,0.22432029019607855,0.39983660130718957,0.5936274509803922,0.38766541176470554,-0.8232367058823541,1.2109021176470596
0,US,2000,9,-0.08352407407407442,0.0571055555555556,0.48888888888888893,0.5111111111111111,-0.12677777777777888,-0.6573888888888904,0.5306111111111115
0,US,2010,9,-0.05608696666666662,0.07624252222222218,0.35555555555555557,0.6444444444444444,0.2015555555555556,-0.5608696666666662,0.7624252222222219
0,US,2020,1,0.0,0.12496799999999997,0.0,1.0,0.24993599999999994,0.0,0.24993599999999994
1,US,1960,5,-0.35338698412698394,0.11475523809523787,0.6692063492063491,0.33079365079365075,-1.7648000000000004,-2.545699999999999,0.7808999999999985
1,US,1970,5,-0.2781225000000001,0.15067499999999995,0.585,0.41500000000000004,-1.1631000000000011,-2.5616000000000008,1.3984999999999996
1,US,1980,16,-0.2969953125,0.1883622395833334,0.6322916666666667,0.3677083333333333,-0.9721562499999992,-2.1939687499999994,1.2218125000000004
1,US,1990,19,-0.15716942355889718,0.14446030701754373,0.5580827067669173,0.44191729323308276,-0.030500000000000766,-1.085947368421052,1.0554473684210512
1,US,2000,20,-0.2195193452380952,0.20435809523809523,0.6632142857142858,0.3367857142857143,0.3461650000000006,-1.6244349999999996,1.9706000000000004
1,US,2010,36,-0.10588608024691358,0.15207815135030864,0.5094135802469135,0.4905864197530864,0.35051438611111113,-0.908345138888889,1.258859525
10,US,1910,1,-70.10400000000001,0.0,1.0,0.0,-140.20800000000003,-140.20800000000003,0.0
10,US,1930,1,-0.3369569999999996,0.0630939999999999,0.7,0.3,-2.738629999999997,-3.369569999999996,0.630939999999999
